Station Name,Date.Time,Year,Month,Total.Rain..mm.
VANCOUVER INT'L A,Nov-94,1994,11,205.2
VANCOUVER INT'L A,Dec-94,1994,12,189.1
VANCOUVER INT'L A,Jan-95,1995,1,164.4
VANCOUVER INT'L A,Feb-95,1995,2,140.1
VANCOUVER INT'L A,Mar-95,1995,3,110.9
VANCOUVER INT'L A,Apr-95,1995,4,54.4
VANCOUVER INT'L A,May-95,1995,5,27.2
VANCOUVER INT'L A,Jun-95,1995,6,46
VANCOUVER INT'L A,Jul-95,1995,7,43.4
VANCOUVER INT'L A,Aug-95,1995,8,70.7
VANCOUVER INT'L A,Sep-95,1995,9,15.2
VANCOUVER INT'L A,Oct-95,1995,10,141.4
VANCOUVER INT'L A,Nov-95,1995,11,251.7
VANCOUVER INT'L A,Dec-95,1995,12,207.4
VANCOUVER INT'L A,Jan-96,1996,1,160.4
VANCOUVER INT'L A,Feb-96,1996,2,110.8
VANCOUVER INT'L A,Mar-96,1996,3,70.1
VANCOUVER INT'L A,Apr-96,1996,4,172.3
VANCOUVER INT'L A,May-96,1996,5,72.3
VANCOUVER INT'L A,Jun-96,1996,6,13.6
VANCOUVER INT'L A,Jul-96,1996,7,17.2
VANCOUVER INT'L A,Aug-96,1996,8,33.6
VANCOUVER INT'L A,Sep-96,1996,9,69.8
VANCOUVER INT'L A,Oct-96,1996,10,247.6
VANCOUVER INT'L A,Nov-96,1996,11,214.5
VANCOUVER INT'L A,Dec-96,1996,12,280.6
VANCOUVER INT'L A,Jan-97,1997,1,241.3
VANCOUVER INT'L A,Feb-97,1997,2,103
VANCOUVER INT'L A,Mar-97,1997,3,240
VANCOUVER INT'L A,Apr-97,1997,4,116.4
VANCOUVER INT'L A,May-97,1997,5,73.8
VANCOUVER INT'L A,Jun-97,1997,6,94.8
VANCOUVER INT'L A,Jul-97,1997,7,89.6
VANCOUVER INT'L A,Aug-97,1997,8,33.8
VANCOUVER INT'L A,Sep-97,1997,9,103.5
VANCOUVER INT'L A,Oct-97,1997,10,166.8
VANCOUVER INT'L A,Nov-97,1997,11,124.8
VANCOUVER INT'L A,Dec-97,1997,12,134
VANCOUVER INT'L A,Jan-98,1998,1,166.7
VANCOUVER INT'L A,Feb-98,1998,2,78
VANCOUVER INT'L A,Mar-98,1998,3,81
VANCOUVER INT'L A,Apr-98,1998,4,19.3
VANCOUVER INT'L A,May-98,1998,5,110.3
VANCOUVER INT'L A,Jun-98,1998,6,29.8
VANCOUVER INT'L A,Jul-98,1998,7,39.8
VANCOUVER INT'L A,Aug-98,1998,8,8.2
VANCOUVER INT'L A,Sep-98,1998,9,11.2
VANCOUVER INT'L A,Oct-98,1998,10,111
VANCOUVER INT'L A,Nov-98,1998,11,251.6
VANCOUVER INT'L A,Dec-98,1998,12,253.6
VANCOUVER INT'L A,Jan-99,1999,1,222.7
VANCOUVER INT'L A,Feb-99,1999,2,215.5
VANCOUVER INT'L A,Mar-99,1999,3,104.9
VANCOUVER INT'L A,Apr-99,1999,4,53.8
VANCOUVER INT'L A,May-99,1999,5,58.8
VANCOUVER INT'L A,Jun-99,1999,6,83.1
VANCOUVER INT'L A,Jul-99,1999,7,65.8
VANCOUVER INT'L A,Aug-99,1999,8,33.2
VANCOUVER INT'L A,Sep-99,1999,9,15.2
VANCOUVER INT'L A,Oct-99,1999,10,141.7
VANCOUVER INT'L A,Nov-99,1999,11,191
VANCOUVER INT'L A,Dec-99,1999,12,208.7
VANCOUVER INT'L A,Jan-00,2000,1,151.4
VANCOUVER INT'L A,Feb-00,2000,2,69.6
VANCOUVER INT'L A,Mar-00,2000,3,109.2
VANCOUVER INT'L A,Apr-00,2000,4,43.5
VANCOUVER INT'L A,May-00,2000,5,103
VANCOUVER INT'L A,Jun-00,2000,6,57
VANCOUVER INT'L A,Jul-00,2000,7,86.5
VANCOUVER INT'L A,Aug-00,2000,8,6
VANCOUVER INT'L A,Sep-00,2000,9,48
VANCOUVER INT'L A,Oct-00,2000,10,125.2
VANCOUVER INT'L A,Nov-00,2000,11,74
VANCOUVER INT'L A,Dec-00,2000,12,137.4
